name,comment
纯味斑鱼府(宝山店),1742
这一锅,4278
蜀大侠火锅(东建路店),1343
旬野菜日本料理和牛寿喜锅专门店(浦东店),602
重庆高老九火锅(大世界店),25837
渝利火锅(城开YOYO店),428
纯味斑鱼府(静安店),3546
裕华東發.火锅酒楼,2060
小肥羊(光启城时尚购物中心店),4308
囍凤楼(万象城店),2248
薪火重庆本味火锅,128
红辣椒(杨浦店),23214
蜀大侠(江宁路店),1529
韩国街小木屋한국포장마차,573
蜀城巷子老成都火锅(宜山路店),545
黄门老灶火锅,1002
重庆高老九火锅(普陀环球港店),1018
圈儿潮汕牛肉火锅,1955
红魔重庆美蛙火锅(静安大融城店),1409
玲姐·海鲜火锅,18
海底捞火锅(龙盛广场店),528
红魔重庆美蛙火锅(浦东置汇旭辉广场店),732
青岛1903,131
红辣椒(徐汇店),21438
Mo·Mo牧场(大悦城店),8314
红魔重庆美蛙火锅(宏伊国际广场店),145
海底捞火锅(绚荟城店),166
重庆高老九火锅(南京东路店),14285
大渝火锅(长宁来福士店),2216
红辣椒(张杨路店),25612
谭鸭血老火锅(环球港店),2099
捞王·赤鼎台式麻辣火锅,2715
真鲜围煮,901
海底捞火锅(高科东路店),397
坎爷秘制火锅(陆家嘴店),3572
南门涮肉(世博源店),3404
海底捞火锅(莘松路店),214
南门涮肉(世博大道总店),10873
蜀大侠火锅(四川北路店),1202
潮香牛宴潮汕鲜牛肉火锅(飞洲国际广场店),7506
行家海鲜火锅酒家,492
红魔重庆美蛙火锅(成山巴黎春天店),1008
凯达石斑鱼打边炉(长寿路店),6247
海底捞火锅(三德广场店),138
牛New寿喜烧(徐汇店),12623
京炉·北京烤鸭火锅(大宁音乐广场店),846
那都不是锅港式打边炉(金桥店),1925
鼎王无老锅(静安店),6377
季悦火锅(锦江店),1010
纯味斑鱼府(浦东店),8767
蜀大侠火锅(城市新汇广场店),4573
逸春园海鲜酒家·港式点心火锅(长宁来福士店),869
哥老官重庆美蛙鱼头(沪太路大融城店),1712
尽膳口福跷脚牛肉(新天地店),232
南门涮肉(中山公园店),910
哥老官重庆美蛙鱼头(莘庄龙之梦八哥店),8757
鼎王无老锅(黄金城道店),5841
哥老官重庆美蛙鱼头(虹口龙之梦五哥店),22157
就是泰Just Thai泰式火锅(长寿路店),6975
御品港式肥牛海鲜火锅(虹桥店),170
上房火鍋(嘉定现厂店),50
捞王锅物料理(BFC外滩金融中心店),177
红魔重庆美蛙火锅(宝山龙湖天街店),545
幻幻锅物(南京西路店),167
鼎王无老锅(茂名北路店),1655
哥老官重庆美蛙鱼头(96广场店),14520
那都不是锅港式打边炉(嘉定店),517
哥老官重庆美蛙鱼头(中环百联十五哥店),3122
哥老官重庆美蛙鱼头(滨江百联十二哥店),2863
海底捞火锅(龙茗路店),4359
南门涮肉(城隍庙店),678
海底捞火锅(张杨路店),14586
海底捞火锅(张杨路店),14586
洪太极热气羊肉羊蝎子火锅(徐汇店),2265
捞王锅物料理(虹口龙之梦店),228
正國老火锅(魔都直营店),197
海底捞火锅(118广场店),2337
海底捞火锅(中信泰富万达广场店),350
海底捞火锅(长寿路店),14442
哥老官重庆美蛙鱼头(日月光店),30234
就是泰Just Thai泰式火锅(打浦桥日月光店),2850
哥老官重庆美蛙鱼头(文峰广场十三哥店),3655
海底捞火锅(沪太路店),6226
海底捞火锅(江桥万达店),2697
蜀大侠火锅(人民广场店),3319
就是泰Just Thai泰式火锅(金陵东路店),25990
今日牛事潮汕鲜牛肉火锅(静安寺店),4875
楼上火锅(南汇路店),3389
哥老官重庆美蛙鱼头(人民广场店),30514
就是泰Just Thai 泰式火锅(虹桥南丰城店),1806
就是泰Just Thai泰式火锅(张杨店),518
左庭右院鲜牛肉火锅(联洋广场店),41
煲宫(月星环球港店),1805
洋房火锅(新天地店),4153
海底捞火锅(漕宝路店),851
山海精蟹粉火锅,726
海底捞火锅(青浦宝龙店),281
鼎王无老锅(衡山路店),10166
海底捞火锅(逸仙路店),8569
海底捞火锅(吴中路店),18214
香满楼 海鲜肥牛火锅,49
辣府肉铺圌·牛排火锅(嘉善路店),148
红魔重庆美蛙火锅(特力时尚汇店),1789
哥老官重庆美蛙鱼头(周浦万达十四哥店),3017
海底捞火锅(静安大融城店),903
湊湊火锅·茶憩(百联南方店),1748
满园火锅,396
一炉小凤鲜炭炉火锅(茅台路店),663
爱上六头鲍港式打边炉,1267
海底捞火锅(百盛购物中心店),1261
海底捞火锅(新松江城店),2101
协乐海鲜火锅,55
大龙燚火锅(天钥桥路店),153
绝代芳华,568
上上谦串串香火锅(徐汇旗舰店),6740
尚海豆捞(乐虹坊店),249
海底捞火锅(巴黎春天浦建店),5046
街儿巷小郡肝串串香火锅(人民广场店),423
爸爸炒料牛排老火锅(淮海路旗舰店),192
捞王锅物料理(世茂广场店),1006
八万羊蝎子铜锅涮羊肉,287
上上谦串串香火锅(新梅联合广场店),41585
楼上火锅(茂名南路店),5960
海底捞火锅(第一百货店),6860
香港柒胜海鲜火锅酒家(联洋店),455
大龙燚火锅(长寿店),4649
熊猫老灶火锅(延安西路店),10178
海底捞火锅(华山路店),9626
海底捞火锅(五角场店),176
锅太泰泰式火锅餐厅,2613
左庭右院鲜牛肉火锅(环球港店),7123
吴老幺火锅(静安店),59
楼上荟馆(静安嘉里中心店),386
海底捞火锅(打浦路店),12277
宴羊集市火锅,4398
曹疯子老火锅,15
汤呈逸品(新天地店),702
上房火鍋(新天地店),666
最伙Hot Pot(嘉廷酒店店),663
海底捞火锅(北京西路店),9855
囍蔻港式点心火锅,951
捞王锅物料理(五角场店),1685
捞王锅物料理(虹桥天地店),4126
上上谦串串香火锅(虹口龙之梦店),35468
上房火鍋(外滩店),245
上房火鍋(建業里店),1502
百味记小郡肝·林蛙鱼火锅串串香(松江旗舰店),481
那都不是锅港式打边炉(中山公园店),772
潮界(绿地缤纷城店),3297
臙脂火锅(新天地店),362
海底捞火锅(控江路店),148
坎爷火锅(来福士店),121
海底捞火锅(大华店),2600
熊猫老灶火锅(北外滩·白玉兰广场店),555
蜀大侠火锅(城市新汇广场店),4573
奇门涮肉(南京西路店),1586
辣府肉铺圌·牛排火锅,848
傲徕轩·海鲜火锅(丰尚国际店),144
高兴一锅·石斑鱼海鲜火锅(中兴店),1839
筑间幸福锅物(长寿路店),721
牛new寿喜烧(南京东路步行街店),6637
蜀大侠火锅(松江店),748
蜀今朝火锅,336
欲之宴·香焰黑椒牛肉锅,225
左庭右院鲜牛肉火锅(金桥国际店),4504
海底捞火锅(中山中路店),215
哥老官重庆美蛙鱼头(长宁龙之梦店),14033
红魔重庆美蛙火锅(百联世纪店),1815
捞王锅物料理(缤谷文化休闲广场店),3517
鸿福海鲜四季火锅,47
左庭右院鲜牛肉火锅(三林印象城店),639
左庭右院鲜牛肉火锅(汇智广场店),1046
御馆,438
香港鲜入围煮,120
捞王锅物料理(金桥国际店),1230
海底捞火锅(海宁路店),10169
舞渔日料美人胶原锅(中山公园龙之梦店),3088
蜀汉大渔·鱼头肥肠火锅(国权东路店),891
左庭右院鲜牛肉火锅(宝山万达店),772
左庭右院鲜牛肉火锅(大宁国际店),929
捞王锅物料理(凯德晶萃店),560
蜀大侠火锅(长寿路店),800
锅季-捞王旗下小火锅,2456
钢管厂五区小郡肝串串香火锅(上海旗舰店),436
蜀大侠火锅(田林路店),2025
红魔重庆美蛙火锅(宝山万达店),2492
捞王锅物料理(巴黎春天淮海店),4788
炉得香烤鸭火锅(龙茗路店),1958
捞王锅物料理(长寿路店),9135
舞渔日料美人胶原锅(太平洋店),6481
左庭右院鲜牛肉火锅(第一百货店),1428
哥老官重庆美蛙鱼头(五角场合生汇店),16391
左庭右院鲜牛肉火锅(虹口龙之梦店),2357
红魔重庆美蛙火锅(环球港店),7491
宙司汇英式宫廷Hotpot&Dessert(香港直營店),13
电台巷火锅(魔都直营店),1438
左庭右院鲜牛肉火锅(宝山万达店),772
左庭右院鲜牛肉火锅(漕宝路日月光店),1516
左庭右院鲜牛肉火锅(七宝万科店),2300
熊猫老灶火锅(北外滩·白玉兰广场店),555
海底捞火锅(大融城店),998
重庆高老九火锅(普陀环球港店),1018
蜀汉大渔·鱼头肥肠火锅(国权东路店),891
辣府肉铺圌·牛排火锅,848
富公馆火锅,169
九鼎轩脆毛肚火锅(南京东路店),4643
一緒に寿喜烧,190
重庆高老九火锅(静安大融城店),840
平谷屋日料,241
左庭右院鲜牛肉火锅(仲盛世界商城店),676
捞王锅物料理(近铁城市广场店),4807
捞王锅物料理(浦东置汇旭辉广场店),373
红辣椒(安信商业广场店),2169
小三宝火锅(虹口店),5956
湊湊火锅·茶憩(合生汇店),1517
京炉·北京烤鸭火锅(长寿店),1516
蜀大侠火锅(长寿路店),800
洋房火锅(岳阳路店),1816
幻幻锅物(天钥桥路店),549
鸠鹚古镇老火锅,517
红魔重庆美蛙火锅(大宁国际店),436
捞王锅物料理(凯旋路店),1201
姥佛爷火锅,1379
九鼎轩脆毛肚火锅(打浦路店),5761
捞王锅物料理(龙湖天街店),832
哥老官重庆美蛙鱼头(松江地中海十八哥店),1599
左庭右院鲜牛肉火锅(百联川沙店),1518
御花园环岛（香港）海鲜火锅,545
壹小馆·皇城老妈小火锅(香港广场店),2743
汕头八合里海记牛肉店(中山公园店),2468
大自然醉鹅·铁锅火焰鹅,374
傲徕轩·海鲜火锅(丰尚国际店),144
老高家热气涮羊肉&蚝红天虾(上南店),3428
四川香天下火锅(宝山万达店),873
一间房茶庄,162
重庆高老九火锅(徐家汇店),13278
煲宫(悦荟广场店),1362
捞王锅物料理(协信店),5430
渝利火锅(长泰广场店),10641
羊大爷涮肉(静安店),1652
重庆高老九火锅(汇智国际商业中心店),4656
如一鸡鲍鱼(合生汇店),132
茸梅路右拐·涮肉,457
肥叔打边炉·碳火鲜食,1013
藻想鱼见你∙斑鱼火锅(百联又一城店),1846
港氽港式海鲜火锅,16
哥老官重庆美蛙鱼头(定西路店),10402
香港柒胜海鲜火锅酒家(联洋店),455
聚酒锅(金虹桥国际中心店),1317
渝江记忆老重庆火锅(徐家汇店),153
凯达石斑鱼打边炉(龙湖虹桥天街店),1540
左庭右院鲜牛肉火锅(虹桥龙湖天街店),1271
黄门老灶火锅,1002
大渝火锅(仲盛商城店),3347
香港半岛湾海鲜火锅酒楼,192
春熙小串仙火锅,597
左庭右院鲜牛肉火锅(星游城店),846
重庆高老九火锅(北洋泾旭辉广场店),495
邂逅丽江·鲜货斑鱼府(人民广场店),7851
一炉小凤鲜炭炉火锅(长寿路店),934
重庆高老九火锅(中庚城店),464
捞王锅物料理(浦东昌里店),1653
好酒好菜吃鸡公司,377
湊湊火锅·茶憩(长风大悦城店 ),1365
泓泰河豚料理海鲜火锅,63
捞王锅物料理(莘庄仲盛店),5920
九鼎轩脆毛肚火锅(龙州路店),240
小辉辉涮肉,630
哥老官重庆美蛙鱼头(胜辛万达广场店),179
青花椒砂锅鱼(龙之梦购物中心店),6703
